Identifier,Place_Name,official_name,comments,Alt_Name1,Alt_Name2,Search_string,
,Notre-Dame,Cathédrale Notre-Dame de Paris,,,,Notre-\s*Dame,
,Île de la Cité,Île de la Cité,,Ile de la Cité,,Cité,
,Île Saint-Louis,Île Saint-Louis,,,,Saint-\s*Louis,
,Arènes de Lutèce,Arènes de Lutèce,,Arènes de Paris,,Arènes,
,Palais de Justice,Palais de Justice,,Palais-de-Justice,,Palais\s*de\s*Justice|Palais-\s*de-\s*Justice,
,Hôtel-Dieu,Hôtel-Dieu de Paris,,,,H[oôóòö]tel-\s*Dieu,
,Morgue,,no longer exists,,,Morgue,
,Sainte-Chapelle,Sainte-Chapelle,,,,Sainte-\s*Chapelle ,
,Conciergerie,La Conciergerie,,,,Conciergerie,
,Quai de l'Horloge,Quai de l'Horloge,,,,[Qq]uai\s*de\s*l\'Horloge,
,Pont-Neuf,Pont-Neuf,,,,Pont-\s*Neuf,
,,,,,,,
,Hôtel de Cluny,Hôtel de Cluny,building now housing the museum,palais de Julien,Palais des Thermes,Cluny|Thermes,
,Saint-Germain-des-Prés,Abbaye de Saint-Germain-des-Prés,not the neighborhood,,,Saint-\s*Germain-\s*des-\s*Prés,
,Tour de Nesle,,Demolished 1663;  site of Bibliotheque Mazarine,,,,Nesle
,Église Saint-Sulpice,Église Saint-Sulpice,,,,[Ss]aint-\s*Sulpice,
,Palais du Luxembourg,Palais du Luxembourg,,,,[Pp]alais\s*du\s* Luxembourg,
,Jardin du Luxembourg,Jardin du Luxembourg,,,,[Jj]ardin\s*du\s*Luxembourg,
,Observatoire,Observatoire,,,,Observatoire,
,Panthéon,Panthéon,,Église Sainte-Geneviève,,Panthéon|Sainte-\s*Geneviève,
,Église Saint-Etienne-du-Mont,Église Saint-Etienne-du-Mont,,,,[Eéeé]glise\s*Saint-\s*Étienne,
,Odéon,Théâtre national de l'Odéon,,,,Odéon,
,Jardin des Plantes,Jardin des Plantes,,,,[Jj]ardin\s*des\s*Plantes,
,Gobelins,Gobelins,"neighborhood, tapestry manuf.",,,Gobelins,
,,,,,,,
,Saint-Germain-l’Auxerrois,Église Saint-Germain-l’Auxerrois,,,,Auxerrois,
,Louvre,Louvre,,,,Louvre,
,Carrousel,Carrousel,Doyenné was the street destroyed,Arc de triomphe du Carrousel,impasse du Doyenné,Carrousel|Doyenné,
,Jardin des Tuileries,Jardin des Tuileries,,,,Tuileries,
,Palais des Tuileries,,Burned 1871,,,Tuileries,
,Palais-Royal,Palais-Royal,,,,Palais-\s*Royal,
,Comédie-Française,Théâtre-Français,,,,Comédie-\s*Française,
,Bourse,Bourse,,,,Bourse,
,,,,,,,
,Fontaine des Innocents,Fontaine des Innocents,site of cemetary closed 1786,cimetière des Innocents,Église des Saints Innocents,Innocents,
,Halles,Les Halles,,,,Halles,
,Église Saint-Eustache,Église Saint-Eustache,,,,Saint-\s*Eustache,
,Temple,,no longer existed,,,Temple,
,Tour Saint-Jacques,Tour Saint-Jacques,,Église Saint-Jacques-la-Boucherie,,[Tt]our\s*Saint-\s*Jacques,
,Hôtel de Ville,Hôtel de Ville,,Place de la Grève,,H[oôóòö]tel\s*de\s*Ville|Gr[eêéèë]ve,
,Place de la Grève,Place de la Grève,,Hôtel de Ville,,,
,Rue de Rivoli,Rue de Rivoli,,,,Rivoli,
,Bastille,Place de la Bastille,,Colonne de Juillet,,Bastille|[Cc]olonne\s*de\s*Juillet,
,Hôtel des Tournelles,,no longer existed,Palais des Tournelles,,Tournelles,
,,,,,,,
,Grands Boulevards,,tag for non-specified Grands Boulevards,,,,
,Boulevard de la Madeleine,Boulevard de la Madeleine,,,,[Bb]oulevar[dt]\s*de\s*la\s*Madeleine,
,Boulevard des Capucines,Boulevard des Capucines,,,,Capucines,
,Boulevard des Italiens,Boulevard des Italiens,,,,[Bb]oulevard\s*des\s*Italiens,
,Boulevard Montmartre,Boulevard Montmartre,,,,[Bb]oulevar[dt]\s*Montmartre,
,Boulevard Poissonnière,Boulevard Poissonnière,,,,[Bb]oulevar[dt]\s*Poissonnière,
,Boulevard de Bonne-Nouvelle,Boulevard de Bonne-Nouvelle,,,,[Bb]oulevar[dt]\s*Bonne-\s*Nouvelle,
,Boulevard Saint-Denis,Boulevard Saint-Denis,,,,[Bb]oulevar[dt]\s*Saint-\s*Denis,
,Boulevard Saint-Martin,Boulevard Saint-Martin,,,,[Bb]oulevar[dt]\s*Saint-\s*Martin,
,Boulevard du Temple,Boulevard du Temple,,Boulevard du crime,,[Bb]oulevar[dt]\s*du\s*Temple|[Bb]oulevard\s*du\s*crime,
,Boulevard des Filles-du-Calvaire,Boulevard des Filles-du-Calvaire,,,,[Bb]oulevar[dt]\s*des\s*Filles,
,Boulevard Beaumarchais,Boulevard Beaumarchais,,,,Beaumarchais,
,Porte Saint-Denis,Porte Saint-Denis,,,,[Pp]orte\s*Saint-Denis,
,Café Tortoni,,,,,[Cc]afé\s*Tortoni,
,Café Anglais,,no longer exists,,,[Cc]afé\s*Anglais,
,Maison-Dorée,,,,,Maison-\s*Dorée,
,Notre-Dame-de-Lorette,Église Notre-Dame-de-Lorette,,,,Notre-\s*Dame-\s*de-\s*Lorette,
,Opéra-Comique,Théâtre national de l'Opéra-Comique,,salle Favart,,Opéra-\s*[Cc]omique,
,Panorama,,no longer exists,,,Panorama,
,,,,,,,
,Opéra,palais Garnier,,Opéra Garnier,,Opéra,
,Avenue de l’Opéra,avenue de l’Opéra,,,,[Aa]venue\s*\s*de\s*l’Op[eé]ra,
,,,,,,,
,Rue de la Paix,Rue de la Paix,,rue Napoléon,,[Rr]ue\s*de\s*la\s*Paix|[Rr]ue\s*\de\s* Napoléon,
,Rue Vivienne,rue Vivienne,,,,Vivienne,
,Rue Saint-Jacques,rue Saint-Jacques,,,,[Rr]ue\s*Saint-\s*Jacques,
,Rue Saint-Denis,rue Saint-Denis,,,,[Rr]ue\s*Saint-\s*Denis,
,Rue du Faubourg Saint-Honoré,rue du Faubourg Saint-Honoré,,,,[Ff]aubourg\s*Saint-\s*Honoré,
,Rue du Faubourg Saint-Antoine,rue du Faubourg Saint-Antoine,distinct from neighborhood,,,[Rr]ue\s*du\s*[Ff]aubourg\s*Saint-\s*Antoine,
,Faubourg Saint-Antoine,Faubourg Saint-Antoine,the neighborhood,,,[Ff]aubourg\s*Saint-\s*Antoine,
,Place des Vosges,Place des Vosges,,Place Royale,,[Pp]lace\s*des\s*Vosges|Place\s*Royale,
,Champs-Elysées,Avenue des Champs-Elysées,,,,Champs-\s*Elysées,
,Place de la Concorde,Place de la Concorde,,Place Louix XV,,Concorde|[Pp]lace\s*Louis[.\s*]XV|obélisque,
,Place de l’Étoile,Place de l’Étoile,,,,[EÉ]toile|Triomphe,
,Place Vendôme,Place Vendôme,,,,Vend[oôóòö]ôme,
,Église de la Madeleine,Église de la Madeleine,,,,[Ll]a\s*Madeleine,
,,,,,,,
,Rue du Caire,rue du Caire,,"rue, place, passage",,Caire,
,Cour des Miracles,,no longer exists,Cour des Miracles,,des\s*Miracles,
,Hôpital des Quinze-Vingts,Hôpital des Quinze-Vingts,,,,Quinze-\s*Vingts,
,Cimetière du Père-Lachaise,cimetière du Père-Lachaise,,,,cimeti[eêéèë]re\s*du\s*P[eêéèë]re-\s*Lachaise,
,Butte Montmartre,Butte Montmartre,,,,[Bb]utte\s*Montmartre,
,Montfaucon,,no longer so named,La voierie,le gibet de Montfaucon,Montfaucon|[Vv]oierie,
,Butte Chaumont,Butte Chaumont,,,,Chaumont,
,Château de Vincennes,Château de Vincennes,,,,[Cc]h[aâáàä]teau\s*de\s*Vincennes,
,Hôtel des Invalides,Hôtel des Invalides,,,,Invalides,
,École Militaire,École Militaire de Paris,,Champ-de-Mars,,[Eéeé]cole\s*Militaire|Champ-\s*de-\s*Mars,
,Grenelle,Grenelle,neighborhood ,,,Grenelle,
